華擎 B760M PG LIGHTNING(M-ATX/LAN 2.5Gb/註冊五年)7+1+1 相供電,$3890 ◆ ★
華擎 B760M Steel Legend WiFi(M-ATX/LAN 2.5Gb+無線)12+1+1相.支援eDP,$3490 ◆ ★
華擎 B760 Pro RS(ATX/LAN 2.5Gb/註冊四年)10+1+1相.支援eDP,$4490 ◆ ★
華碩 PRIME Z790-P D4-CSM(ATX/LAN2.5Gb/註冊四年)14+1相電源 *尾盤,$4290 ◆ ★
華碩 ROG STRIX Z790-A GAMING WIFI D4(ATX/Intel 2.5Gb+無線/註五年)16+1相,$6990↘$5990 ◆ ★
NZXT N7 Z790(黑)(ATX/LAN2.5Gb+無線/五年換新)16+1+2相電源 *尾盤,$6900 ◆ ★
NZXT N7 Z790(白)(ATX/LAN2.5Gb+無線/五年換新)16+1+2相電源 *尾盤,$6900 ◆ ★
華碩 Z790-AYW WIFI W II 阿唷喂(ATX/LAN2.5Gb+無線/銀白底板)獨家 12+1+1相,$6490↘$5590 ◆ ★
華碩 PRIME Z790-P WIFI-CSM(ATX/LAN2.5Gb+無線/註冊四年)14+1相電源,$6490 ◆ ★
[任搭CPU] 華碩 PRIME Z790-P WIFI-CSM(ATX/LAN2.5Gb+無線)14+1相電源,$5490 ★
華碩 PRIME Z790-A WIFI-CSM(ATX/Intel 2.5Gb+無線/註冊四年)16+1相電源,$6490 ★ ↓任搭100↓
華碩 TUF GAMING Z790-PLUS WIFI(ATX/Intel 2.5Gb+無線/註五年)16+1相,$7490↘$6990 ◆ ★
華碩 ProArt Z790-CREATOR WIFI(ATX/M10G+Intel 2.5Gb+無線)16+1相電源,$13990 ◆ ★ ↓任搭100↓
華碩 ROG STRIX Z790-A GAMING WIFI II(ATX/Intel 2.5Gb+Wi-Fi7/註五年)16+1+2相,$11990 ◆ ★ ↓任搭100↓
華碩 ROG MAXIMUS Z790 HERO BTF背插(ATX/Intel 2.5Gb+Wi-Fi7/註五年)20+1+2相,$20990↘$18990 ◆ ★
微星 PRO Z790-P WIFI(ATX/Intel 2.5Gb+無線/註冊四年)14+1+1相電源,$5290 ★
微星 MPG Z790 CARBON WIFI II(ATX/Intel 2.5Gb+Wi-Fi 7/註五年)19+1+1相,$15890 ◆ ★ ↓任搭300↓
華擎 H810M-X(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+1+1+1 相供電,$3590↘$2690 ◆ ★
華碩 ROG STRIX B860-I GAMING WIFI(Mini-ITX/Intel 2.5Gb+Wi-Fi 7/註五年)10+1+2+1相,$6490 ◆ ★ ↓任搭90↓
華碩 B860M AYW GAMING WIFI(M-ATX/LAN2.5Gb+無線/註五年/2DIMM)獨家.6+1+1+1相,$3990 ★ ↓任搭100↓
華碩 PRIME B860M-K-CSM(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+1+1相,$3990↘$3690 ◆ ★
[搭機價]華碩 PRIME B860M-K-CSM(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+1+1相,$3490 ◆ ★ 熱賣
華碩 PRIME B860M-A-CSM(M-ATX/LAN2.5Gb/註四年)7+1+1+1相,$3990 ◆ ★
華碩 PRIME B860M-A WIFI-CSM(M-ATX/LAN2.5Gb+無線/註四年)7+1+1+1相,$4690 ◆ ★ ↓任搭100↓
[任搭U]華碩 PRIME B860M-A WIFI-CSM(M-ATX/LAN2.5Gb+無線/註四年)7+1+1+1相,$4490 ◆ ★ 熱賣
華碩 TUF GAMING B860M-PLUS(M-ATX/LAN2.5Gb/註五年)12+1+2+1相,$4490 ◆ ★
